#	Reference	Condition	Replicate	Concentration	Color	File Name	Run Label	Label
1	TRUE	1	1	40000	#000000	001r_mo-019_B-A1_17600_H26	001r_mo-019_B-A1_17600_H26_019_B-A1	NA
3	FALSE	1	1	200	#000000	004r_mo-019_B-D1_17583_H26	004r_mo-019_B-D1_17583_H26_019_B-D1	NA
5	FALSE	1	1	0.2	#000000	007r_mo-019_B-G1_17587_H26	007r_mo-019_B-G1_17587_H26_019_B-G1	NA
7	FALSE	1	1	0	#000000	008r_mo-019_B-H1_17576_H26	008r_mo-019_B-H1_17576_H26_019_B-H1	NA
9	FALSE	1	2	40000	#000000	009r_mo-019_B-A2_17589_H26	009r_mo-019_B-A2_17589_H26_019_B-A2	NA
10	FALSE	1	2	20	#000000	013r_mo-019_B-E2_17601_H26	013r_mo-019_B-E2_17601_H26_019_B-E2	NA
12	FALSE	1	2	2	#000000	014r_mo-019_B-F2_17573_H26	014r_mo-019_B-F2_17573_H26_019_B-F2	NA
14	FALSE	1	2	0	#000000	016r_mo-019_B-H2_17580_H26	016r_mo-019_B-H2_17580_H26_019_B-H2	NA
15	FALSE	1	3	40000	#000000	017r_mo-019_B-A3_17597_H26	017r_mo-019_B-A3_17597_H26_019_B-A3	NA
17	FALSE	1	3	2	#000000	022r_mo-019_B-F3_17581_H26	022r_mo-019_B-F3_17581_H26_019_B-F3	NA
19	FALSE	1	3	0.2	#000000	023r_mo-019_B-G3_17572_H26	023r_mo-019_B-G3_17572_H26_019_B-G3	NA
20	FALSE	1	3	0	#000000	024r_mo-019_B-H3_17593_H26	024r_mo-019_B-H3_17593_H26_019_B-H3	NA
22	FALSE	1	4	20000	#000000	026r_mo-019_B-B4_17588_H26	026r_mo-019_B-B4_17588_H26_019_B-B4	NA
24	FALSE	2	4	200	#000000	028r_mo-019_B-D4_17584_H26	028r_mo-019_B-D4_17584_H26_019_B-D4	NA
25	FALSE	2	4	0.2	#000000	031r_mo-019_B-G4_17596_H26	031r_mo-019_B-G4_17596_H26_019_B-G4	NA
27	FALSE	2	4	0	#000000	032r_mo-019_B-H4_17577_H26	032r_mo-019_B-H4_17577_H26_019_B-H4	NA
28	FALSE	2	5	2000	#000000	035r_mo-019_B-C5_17592_H26	035r_mo-019_B-C5_17592_H26_019_B-C5	NA
30	FALSE	2	5	2	#000000	038r_mo-019_B-F5_17585_H26	038r_mo-019_B-F5_17585_H26_019_B-F5	NA
31	FALSE	2	5	0.2	#000000	039r_mo-019_B-G5_17595_H26	039r_mo-019_B-G5_17595_H26_019_B-G5	NA
33	FALSE	2	5	0	#000000	040r_mo-019_B-H5_17571_H26	040r_mo-019_B-H5_17571_H26_019_B-H5	NA
36	FALSE	2	6	200	#000000	044r_mo-019_B-D6_17591_H26	044r_mo-019_B-D6_17591_H26_019_B-D6	NA
37	FALSE	2	6	20	#000000	045r_mo-019_B-E6_17599_H26	045r_mo-019_B-E6_17599_H26_019_B-E6	NA
39	FALSE	2	6	2	#000000	046r_mo-019_B-F6_17575_H26	046r_mo-019_B-F6_17575_H26_019_B-F6	NA
41	FALSE	2	6	0.2	#000000	047r_mo-019_B-G6_17579_H26	047r_mo-019_B-G6_17579_H26_019_B-G6	NA
42	FALSE	2	6	0	#000000	048r_mo-019_B-H6_17603_H26	048r_mo-019_B-H6_17603_H26_019_B-H6	NA
